	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
LOC100506869	0	0	0	0	0
LOC102724604	0.009011348	0.055023516	0.05670902	0.284783091	0.020766227
LOC102724601	0	0	0	0	0
ATRX	0.040364304	0.049293087	0.067737406	0.045557917	0.124023513
LOC107986703	5.709897147	7.177601105	6.036293143	8.939376326	2.188008037
DISC1	0	0	0	0	0
TCOF1	0.312674796	0.723874297	0.806826197	0.3910582	0.364445196
SPPL3	3.346006804	3.912388585	3.289774821	3.297838944	5.687527708
OPA3	7.486731388	13.7056947	12.21214975	9.417337595	11.29290126
OPA1	2.122292847	3.307246217	2.533862684	2.748866005	3.842198556
RNF219-AS1	12.15945029	10.50005777	9.869984739	12.8205737	4.566727627
LOC105369748	0.001772539	0.008658535	0.011154709	0.004001219	0
ITGA8	0.176610987	0.224305339	0.266741951	0.159468201	0.256404765
ITGA9	0.912732995	1.329472806	1.589012652	1.07222082	0.460256889
ITGA1	3.416555228	7.62050763	6.347122626	5.392247569	3.537558295
ITGA2	7.47057474	5.847722374	9.697254013	9.166814277	1.975479922
ITGA3	0.336825062	15.95536848	7.670451997	8.112384763	5.501469777
ITGA4	1.897904694	19.26395176	10.4771945	8.711945315	27.93410092
ITGA5	0.343124681	2.015657417	0.893506198	0.527493904	0.293109738
ITGA6	9.296553887	6.644554643	16.80966269	5.495858867	8.005961623
ITGA7	23.18133152	46.44798663	44.94116132	28.03212854	15.56992467
TRHR	81.84899102	4.80380589	43.34626948	64.34259024	13.91853529
UFSP1	0	0	0	0.01047995	0
UFSP2	0.703943732	0.573106377	0.354397212	0.935766927	2.757748721
LOC101928371	13.0931003	13.21841729	11.71944813	15.6503976	13.69831
LOC101928372	0	0.032673953	0	0	0
FAM212A	0	0	0	0	0.008404683
CHST9	1.617987594	3.713949749	2.545526131	2.113624501	8.682748971
CHST8	0.006761249	2.171556866	2.343598438	0.673072551	0.89902246
CHST1	0.096996004	1.402721047	0.186333353	0.24200031	7.999760379
CHST3	0.183670349	0.919079393	0.620212105	0.470223719	0.939429967
CHST2	8.952709931	9.065868643	16.24223949	6.658214358	6.119786309
CHST5	2.383678637	2.778077503	3.008689502	2.110856769	4.360764956
CHST4	0	0.051548521	0.029515321	0.03176163	0.059445045
CHST7	0.01167525	0.470509814	0.124904325	0.085653663	0.343039556
CHST6	2.259836725	1.521173047	3.058437105	1.574922651	2.094054923
ITGAX	0.011038343	0.062907036	0.092620045	0.049834519	0.16110316
BCL2A1	0.455921488	1.358312344	0.828863973	0.382830761	1.855132445
ITGAV	0.600905504	0.751300885	0.738300406	0.355259714	2.291445434
ITGAL	13.31686763	14.37636405	19.06784472	20.41237688	7.641413959
ITGAM	0.558514236	4.315795637	1.95433197	1.035231857	2.06929743
ITGAD	1.740959094	1.696152077	3.690068439	0.906429639	2.408442474
COPRS	0.052983296	0.112152669	0.040011293	0.04784046	0.077328421
LOC285804	43.45600655	18.44249918	25.79972109	23.0255183	40.40544433
IGF2R	0.031911155	0.029227545	0.110450471	0.11705562	0.027576657
SLC36A4	13.60992503	12.47080399	13.75631287	16.24560906	5.485289388
SLC36A3	0.878370596	1.143396041	1.004290101	0.907865557	0.824865207
SLC36A2	0	0	0	0	0.003924023
SLC36A1	0.047513037	0.008926639	0.027600252	0.127878497	0.012633641
ARTN	1.191984493	2.450629143	1.913237215	1.514154565	0.954203678
ART1	0.04689427	0.164644104	0.132798955	0.052928084	0.79698405
ART3	0	0.03891029	0	0	0
ART5	0.076049402	0.075458424	0.095716798	0.075105242	0.082149497
ART4	0.119780057	0.888907987	0.394286983	0.821551219	1.709247164
CRTAM	0.107576211	0.321133025	0.409951615	0.080945251	0.19281446
CADPS2	0.029122657	0.483680358	0.256579166	0.092035507	0.315425406
RLF	2.396829946	8.289729723	5.539332779	5.892243306	7.801705793
USP17L30	3.462360284	6.845015206	5.519427351	5.642179493	2.845481813
CRTAP	0	0	0	0	0
MDH1	74.35412246	41.05256426	63.03605077	55.11741703	38.53800481
HPYR1	68.59532442	21.04042341	80.16905278	50.67683708	29.7599762
CPEB4	0	0	0	0	0
CPEB1	4.503394137	5.266173625	5.311036003	7.212529612	2.149674477
CPEB3	0.301560412	0.544294091	0.725676645	0.413143479	0.550700629
CPEB2	1.051416799	1.907993153	1.827923126	1.497239555	0.652155927
SRBD1	5.548846034	3.462370632	3.472799696	8.102936015	1.851021115
ABAT	3.807910017	4.699267814	4.077476326	5.273863903	2.622581038
POU5F1B	0.876250047	4.374053269	1.374550053	2.432785271	2.888892507
LOC284865	0.110459628	0.15974271	0.102440189	0.075459549	0.157418463
PHOX2A	0.034965488	0.034160021	0.026404819	0.047357332	0.024172895
PHOX2B	0	0.021330865	0.032976422	0.019714524	0.080504051
NLRP14	0	0	0	0	0
UPK2	0.028174722	0.584920867	0.301419208	0.03179992	0.211013784
CFH	14.35636129	8.627034676	21.88517003	4.546931787	8.003091085
CFI	4.656092759	7.969299298	10.71337438	6.752776644	10.90116266
ANKFY1	4.692944922	8.644408639	7.346798114	6.496120119	3.177270269
CFB	0.352333441	2.006663681	1.224397333	0.69679817	3.775860719
CFP	0.609469233	0.40748665	0.929931264	0.138346331	1.255412828
RNU5B-1	0.134315701	0.328053995	0	0	0
AAAS	6.318096304	11.75286338	9.013576661	6.935548752	11.53587258
SIDT1	0.44267522	2.351243572	1.445201933	2.282169009	2.583720594
SIDT2	13.27817653	12.05968629	19.19877767	14.2976842	9.409112011
SAGE1	0	0	0	0	0.036476268
LVCAT8	0	0.030011249	0	0	0
UFD1	4.467657544	5.220699946	4.397430063	3.830692785	7.021905054
LVCAT5	0	0	0.009834493	0.008819135	0
LVCAT1	0.005519172	0	0	0.037375889	0
AAGAB	8.14192132	12.02288365	9.152687865	8.281128959	15.68552025
